1,2,114,0
1,3,114,0
1,4,114,0
1,5,114,0
1,6,114,0
1,7,114,0
1,8,114,0
1,9,114,0
1,10,114,0
2,2,114,0
2,3,114,0
2,4,114,0
2,5,114,0
2,6,114,0
2,7,114,0
2,8,114,0
2,9,114,0
2,10,114,0
3,2,114,0
3,3,114,0
3,4,114,0
3,5,114,0
3,6,114,0
3,7,114,0
3,8,114,0
3,9,114,0
3,10,114,0
1,2,115,0
1,3,115,0
1,4,115,0
1,5,115,0
1,6,115,0
1,7,115,0
1,8,115,0
1,9,115,0
1,10,115,0
2,2,115,0
2,3,115,0
2,4,115,0
2,5,115,0
2,6,115,0
2,7,115,0
2,8,115,0
2,9,115,0
2,10,115,0
3,2,115,0
3,3,115,0
3,4,115,0
3,5,115,0
3,6,115,0
3,7,115,0
3,8,115,0
3,9,115,0
3,10,115,0
1,2,116,0
1,3,116,0
1,4,116,0
1,5,116,0
1,6,116,0
1,7,116,0
1,8,116,0
1,9,116,0
1,10,116,0
2,2,116,0
2,3,116,0
2,4,116,0
2,5,116,0
2,6,116,0
2,7,116,0
2,8,116,0
2,9,116,0
2,10,116,0
3,2,116,0
3,3,116,0
3,4,116,0
3,5,116,0
3,6,116,0
3,7,116,0
3,8,116,0
3,9,116,0
3,10,116,0
1,2,117,0
1,3,117,0
1,4,117,0
1,5,117,0
1,6,117,0
1,7,117,0
1,8,117,0
1,9,117,0
1,10,117,0
2,2,117,0
2,3,117,0
2,4,117,0
2,5,117,0
2,6,117,0
2,7,117,0
2,8,117,0
2,9,117,0
2,10,117,0
3,2,117,0
3,3,117,0
3,4,117,0
3,5,117,0
3,6,117,0
3,7,117,0
3,8,117,0
3,9,117,0
3,10,117,0
