128,2,"gem_of_lancer",5
128,3,"gem_of_lancer",12
128,4,"magic_gem_of_lancer",5
128,5,"magic_gem_of_lancer",12
128,5,"seed_of_yggdrassil",6
128,6,"secret_gem_of_lancer",5
128,6,"seed_of_yggdrassil",12
128,7,"secret_gem_of_lancer",12
128,7,"phoenix_feather",4
128,8,"phoenix_feather",8
128,8,"claw_of_chaos",4
128,9,"claw_of_chaos",11
128,9,"heart_of_the_foreign_god",10
128,10,"crystallized_lore",1
129,2,"gem_of_archer",5
129,3,"gem_of_archer",12
129,4,"magic_gem_of_archer",5
129,5,"magic_gem_of_archer",12
129,5,"dragon_fang",12
129,6,"secret_gem_of_archer",5
129,6,"dragon_fang",24
129,7,"secret_gem_of_archer",12
129,7,"shell_of_reminiscence",5
129,8,"shell_of_reminiscence",10
129,8,"warhorses_young_horn",4
129,9,"warhorses_young_horn",11
129,9,"spirit_root",10
129,10,"crystallized_lore",1
130,2,"gem_of_caster",4
130,3,"gem_of_caster",10
130,4,"magic_gem_of_caster",4
130,5,"magic_gem_of_caster",10
130,5,"shell_of_reminiscence",4
130,6,"secret_gem_of_caster",4
130,6,"shell_of_reminiscence",8
130,7,"secret_gem_of_caster",10
130,7,"seed_of_yggdrassil",5
130,8,"serpent_jewel",4
130,8,"seed_of_yggdrassil",10
130,9,"serpent_jewel",12
130,9,"eternal_gear",20
130,10,"crystallized_lore",1
131,2,"gem_of_archer",4
131,3,"gem_of_archer",10
131,4,"magic_gem_of_archer",4
131,5,"gem_of_archer",10
131,5,"octuplet_twin_crystals",4
131,6,"secret_gem_of_archer",4
131,6,"octuplet_twin_crystals",8
131,7,"secret_gem_of_archer",10
131,7,"serpent_jewel",4
131,8,"serpent_jewel",7
131,8,"chain_of_fools",15
131,9,"chain_of_fools",45
131,9,"black_beast_grease",12
131,10,"crystallized_lore",1
132,2,"gem_of_rider",4
132,3,"gem_of_rider",10
132,4,"magic_gem_of_rider",4
132,5,"magic_gem_of_rider",10
132,5,"great_knight_medal",8
132,6,"secret_gem_of_rider",4
132,6,"great_knight_medal",16
132,7,"secret_gem_of_rider",10
132,7,"shell_of_reminiscence",4
132,8,"shell_of_reminiscence",8
132,8,"homunculus_baby",5
132,9,"homunculus_baby",15
132,9,"tearstone_of_blood",12
132,10,"crystallized_lore",1
135,2,"gem_of_saber",4
135,2,"gem_of_rider",4
135,2,"gem_of_berserker",4
135,3,"gem_of_archer",4
135,3,"gem_of_lancer",4
135,3,"gem_of_caster",4
135,3,"gem_of_assassin",4
135,4,"magic_gem_of_saber",4
135,4,"magic_gem_of_rider",4
135,4,"magic_gem_of_berserker",4
135,5,"magic_gem_of_archer",4
135,5,"magic_gem_of_lancer",4
135,5,"magic_gem_of_caster",4
135,5,"magic_gem_of_assassin",4
135,6,"secret_gem_of_saber",4
135,6,"secret_gem_of_rider",4
135,6,"secret_gem_of_berserker",4
135,7,"secret_gem_of_archer",4
135,7,"secret_gem_of_lancer",4
135,7,"secret_gem_of_caster",4
135,7,"secret_gem_of_assassin",4
135,8,"tearstone_of_blood",6
135,9,"dragons_reverse_scale",12
135,10,"crystallized_lore",1
133,2,"gem_of_assassin",4
133,3,"gem_of_assassin",10
133,4,"magic_gem_of_assassin",4
133,5,"magic_gem_of_assassin",10
133,5,"seed_of_yggdrassil",5
133,6,"secret_gem_of_assassin",4
133,6,"seed_of_yggdrassil",10
133,7,"secret_gem_of_assassin",10
133,7,"shell_of_reminiscence",4
133,8,"shell_of_reminiscence",8
133,8,"spirit_root",2
133,9,"spirit_root",6
133,9,"scarab_of_wisdom",8
133,10,"crystallized_lore",1
